Index,Button,EN,EN_Shift,RU,RU_Shift,EN_Rare,EN_Rare_Shift,RU_Rare,RU_Rare_Shift,Punctuation,Shift_Punctuation_Code,Number_Math,Shift_Number_Engineering
0,INDEX_1,l,L,д,Д,,,,,.,.,1,!
1,INDEX_2,h,H,р,Р,,,,,",",",",2,@
2,INDEX_3,n,N,е,Е,,,э,Э,?,:,3,#
3,INDEX_4,s,S,и,И,z,Z,й,Й,!,;,4,$
4,INDEX_5,m,M,ь,Ь,,,ъ,Ъ,:,_,5,%
5,INDEX_6,b,B,б,Б,,,,,;,-,6,^
6,MIDDLE_1,f,F,м,М,,,,,-,=,7,&
7,MIDDLE_2,u,U,л,Л,,,,,_,+,8,*
8,MIDDLE_3,e,E,о,О,,,ё,Ё,—,*,9,(
9,MIDDLE_4,i,I,а,А,,,,,…,/,0,)
10,MIDDLE_5,p,P,ы,Ы,,,,,/,\,.,","
11,RING_1,c,C,п,П,x,X,,,(,(,+,±
12,RING_2,d,D,в,В,,,ф,Ф,),),-,−
13,RING_3,t,T,н,Н,,,,,[,[,*,×
14,RING_4,r,R,т,Т,,,ц,Ц,],],/,÷
15,RING_5,w,W,г,Г,,,,,{,{,=,≈
16,PINKY_1,y,Y,я,Я,,,,,},},%,°
17,PINKY_2,g,G,у,У,j,J,ю,Ю,«,<,(,µ
18,PINKY_3,a,A,с,С,,,ш,Ш,»,>,),Ω
19,PINKY_4,o,O,к,К,,,х,Х,"""",|,<,≤
20,PINKY_5,v,V,з,З,,,ж,Ж,',&,>,≥
21,PINKY_6,k,K,ч,Ч,q,Q,щ,Щ,\,#,",",≠
